,locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
24,8039,US Diplomatic Post: Mumbai,pm25,18.0,"{'utc': '2022-05-22T01:00:00+00:00', 'local': '2022-05-22T06:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
25,8039,US Diplomatic Post: Mumbai,pm25,18.0,"{'utc': '2022-05-22T02:00:00+00:00', 'local': '2022-05-22T07:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
26,8039,US Diplomatic Post: Mumbai,pm25,18.0,"{'utc': '2022-05-22T03:00:00+00:00', 'local': '2022-05-22T08:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
27,8039,US Diplomatic Post: Mumbai,pm25,17.0,"{'utc': '2022-05-22T04:00:00+00:00', 'local': '2022-05-22T09:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
28,8039,US Diplomatic Post: Mumbai,pm25,15.0,"{'utc': '2022-05-22T05:00:00+00:00', 'local': '2022-05-22T10:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
29,8039,US Diplomatic Post: Mumbai,pm25,17.0,"{'utc': '2022-05-22T06:00:00+00:00', 'local': '2022-05-22T11:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
30,8039,US Diplomatic Post: Mumbai,pm25,14.0,"{'utc': '2022-05-22T07:00:00+00:00', 'local': '2022-05-22T12:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
31,8039,US Diplomatic Post: Mumbai,pm25,14.0,"{'utc': '2022-05-22T08:00:00+00:00', 'local': '2022-05-22T13:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
32,8039,US Diplomatic Post: Mumbai,pm25,12.0,"{'utc': '2022-05-22T09:00:00+00:00', 'local': '2022-05-22T14:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
33,8039,US Diplomatic Post: Mumbai,pm25,13.0,"{'utc': '2022-05-22T10:00:00+00:00', 'local': '2022-05-22T15:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
34,8039,US Diplomatic Post: Mumbai,pm25,14.0,"{'utc': '2022-05-22T11:00:00+00:00', 'local': '2022-05-22T16:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
35,8039,US Diplomatic Post: Mumbai,pm25,14.0,"{'utc': '2022-05-22T12:00:00+00:00', 'local': '2022-05-22T17:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
36,8039,US Diplomatic Post: Mumbai,pm25,16.0,"{'utc': '2022-05-22T13:00:00+00:00', 'local': '2022-05-22T18:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
37,8039,US Diplomatic Post: Mumbai,pm25,17.0,"{'utc': '2022-05-22T14:00:00+00:00', 'local': '2022-05-22T19:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
38,8039,US Diplomatic Post: Mumbai,pm25,13.0,"{'utc': '2022-05-22T15:00:00+00:00', 'local': '2022-05-22T20:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
39,8039,US Diplomatic Post: Mumbai,pm25,13.0,"{'utc': '2022-05-22T16:00:00+00:00', 'local': '2022-05-22T21:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
40,8039,US Diplomatic Post: Mumbai,pm25,13.0,"{'utc': '2022-05-22T17:00:00+00:00', 'local': '2022-05-22T22:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
41,8039,US Diplomatic Post: Mumbai,pm25,14.0,"{'utc': '2022-05-22T18:00:00+00:00', 'local': '2022-05-22T23:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
42,8039,US Diplomatic Post: Mumbai,pm25,11.0,"{'utc': '2022-05-22T19:00:00+00:00', 'local': '2022-05-23T00:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
43,8039,US Diplomatic Post: Mumbai,pm25,10.0,"{'utc': '2022-05-22T20:00:00+00:00', 'local': '2022-05-23T01:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
44,8039,US Diplomatic Post: Mumbai,pm25,12.0,"{'utc': '2022-05-22T21:00:00+00:00', 'local': '2022-05-23T02:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
45,8039,US Diplomatic Post: Mumbai,pm25,12.0,"{'utc': '2022-05-22T22:00:00+00:00', 'local': '2022-05-23T03:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
46,8039,US Diplomatic Post: Mumbai,pm25,8.0,"{'utc': '2022-05-22T23:00:00+00:00', 'local': '2022-05-23T04:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
47,8039,US Diplomatic Post: Mumbai,pm25,9.0,"{'utc': '2022-05-23T00:00:00+00:00', 'local': '2022-05-23T05:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
48,8039,US Diplomatic Post: Mumbai,pm25,8.0,"{'utc': '2022-05-23T01:00:00+00:00', 'local': '2022-05-23T06:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
49,8039,US Diplomatic Post: Mumbai,pm25,8.0,"{'utc': '2022-05-23T02:00:00+00:00', 'local': '2022-05-23T07:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
50,8039,US Diplomatic Post: Mumbai,pm25,9.0,"{'utc': '2022-05-23T03:00:00+00:00', 'local': '2022-05-23T08:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
51,8039,US Diplomatic Post: Mumbai,pm25,9.0,"{'utc': '2022-05-23T04:00:00+00:00', 'local': '2022-05-23T09:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
52,8039,US Diplomatic Post: Mumbai,pm25,11.0,"{'utc': '2022-05-23T05:00:00+00:00', 'local': '2022-05-23T10:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
53,8039,US Diplomatic Post: Mumbai,pm25,13.0,"{'utc': '2022-05-23T06:00:00+00:00', 'local': '2022-05-23T11:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
54,8039,US Diplomatic Post: Mumbai,pm25,22.0,"{'utc': '2022-05-23T07:00:00+00:00', 'local': '2022-05-23T12:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
55,8039,US Diplomatic Post: Mumbai,pm25,14.0,"{'utc': '2022-05-23T08:00:00+00:00', 'local': '2022-05-23T13:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
56,8039,US Diplomatic Post: Mumbai,pm25,12.0,"{'utc': '2022-05-23T09:00:00+00:00', 'local': '2022-05-23T14:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
57,8039,US Diplomatic Post: Mumbai,pm25,12.0,"{'utc': '2022-05-23T10:00:00+00:00', 'local': '2022-05-23T15:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
58,8039,US Diplomatic Post: Mumbai,pm25,16.0,"{'utc': '2022-05-23T11:00:00+00:00', 'local': '2022-05-23T16:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
59,8039,US Diplomatic Post: Mumbai,pm25,16.0,"{'utc': '2022-05-23T12:00:00+00:00', 'local': '2022-05-23T17:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
60,8039,US Diplomatic Post: Mumbai,pm25,13.0,"{'utc': '2022-05-23T13:00:00+00:00', 'local': '2022-05-23T18:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
61,8039,US Diplomatic Post: Mumbai,pm25,15.0,"{'utc': '2022-05-23T14:00:00+00:00', 'local': '2022-05-23T19:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
62,8039,US Diplomatic Post: Mumbai,pm25,12.0,"{'utc': '2022-05-23T15:00:00+00:00', 'local': '2022-05-23T20:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
63,8039,US Diplomatic Post: Mumbai,pm25,10.0,"{'utc': '2022-05-23T16:00:00+00:00', 'local': '2022-05-23T21:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
64,8039,US Diplomatic Post: Mumbai,pm25,12.0,"{'utc': '2022-05-23T17:00:00+00:00', 'local': '2022-05-23T22:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
